Date,Open,High,Low,Close,Adj Close,Volume
2007-07-12,2900.000000,2950.000000,2900.000000,2900.000000,2298.133789,25716000
2007-07-13,2925.000000,2950.000000,2875.000000,2925.000000,2317.945313,26966000
2007-07-16,2875.000000,2950.000000,2875.000000,2875.000000,2278.322510,12104000
2007-07-17,2950.000000,2975.000000,2875.000000,2950.000000,2337.756592,19942000
2007-07-18,2950.000000,2950.000000,2925.000000,2950.000000,2337.756592,22798000
2007-07-19,2975.000000,3000.000000,2925.000000,2975.000000,2357.567871,16460000
2007-07-20,3100.000000,3125.000000,3000.000000,3100.000000,2456.625488,64328000
2007-07-23,3075.000000,3150.000000,3050.000000,3125.000000,2476.437500,45144000
2007-07-24,3150.000000,3225.000000,3100.000000,3150.000000,2496.248535,60032000
2007-07-25,3125.000000,3275.000000,3100.000000,3200.000000,2535.871582,85278000
2007-07-26,3200.000000,3200.000000,3075.000000,3100.000000,2456.625488,55494000
2007-07-27,3000.000000,3075.000000,2950.000000,3075.000000,2436.814697,52336000
2007-07-30,3075.000000,3075.000000,3000.000000,3050.000000,2417.002930,48084000
2007-07-31,3075.000000,3150.000000,3050.000000,3150.000000,2496.248535,43726000
2007-08-01,3000.000000,3100.000000,2975.000000,3000.000000,2377.379395,72844000
2007-08-02,3050.000000,3075.000000,2900.000000,3050.000000,2417.002930,82394000
2007-08-03,3075.000000,3100.000000,3000.000000,3075.000000,2436.814697,61112000
2007-08-06,3200.000000,3275.000000,3100.000000,3200.000000,2535.871582,73320000
2007-08-07,2925.000000,3000.000000,2925.000000,2925.000000,2317.945313,39848000
2007-08-08,2925.000000,3075.000000,2925.000000,3075.000000,2436.814697,118154000
2007-08-09,3075.000000,3100.000000,3000.000000,3075.000000,2436.814697,25488000
2007-08-10,3000.000000,3000.000000,2925.000000,3000.000000,2377.379395,14156000
2007-08-13,3025.000000,3025.000000,2950.000000,3025.000000,2397.190918,6
2007-08-14,2975.000000,2975.000000,2925.000000,2975.000000,2357.567871,9210000
2007-08-15,2775.000000,2950.000000,2775.000000,2775.000000,2199.076172,58646000
2007-08-16,2725.000000,2725.000000,2625.000000,2725.000000,2159.453613,87338000
2007-08-20,2800.000000,2925.000000,2750.000000,2800.000000,2218.887939,117602000
2007-08-21,2775.000000,2850.000000,2775.000000,2775.000000,2199.076172,43850000
2007-08-22,2875.000000,2900.000000,2775.000000,2875.000000,2278.322510,32282000
2007-08-23,2950.000000,2950.000000,2875.000000,2950.000000,2337.756592,60022000
2007-08-24,3000.000000,3000.000000,2875.000000,3000.000000,2377.379395,33988000
2007-08-27,3000.000000,3025.000000,2975.000000,3000.000000,2377.379395,24698000
2007-08-28,3025.000000,3025.000000,2975.000000,3025.000000,2397.190918,22158000
2007-08-29,2925.000000,2950.000000,2875.000000,2925.000000,2317.945313,69410000
2007-08-30,2950.000000,3000.000000,2950.000000,2950.000000,2337.756592,23804000
